,season,player,position,xG,Goal,Shooting,Passing,Hits,Blocks,Takeaways,Giveaways,Powerplay,plusMinus
6294,2017,Brett Ritchie,RW,11.645420826971533,7,77,69,91,60,66,70,66,1
6295,2017,Brian Boyle,C,12.243485242128372,13,84,75,87,71,76,72,71,-9
6296,2017,Brian Dumoulin,D,5.3394868331961325,5,72,77,85,91,85,85,67,-5
6297,2017,Brian Gibbons,C,9.104397737421095,12,84,78,69,85,85,65,70,10
6299,2017,Brock Boeser,RW,15.076702575199304,29,91,86,66,70,81,79,89,-5
6300,2017,Brock McGinn,LW,18.50023111049086,16,86,78,88,65,86,82,78,-12
6301,2017,Brock Nelson,C,17.020235182717446,19,87,80,75,83,85,79,70,-4
6303,2017,Brooks Orpik,D,2.2568245893344283,0,61,74,94,94,74,85,71,-9
6304,2017,Bryan Little,C,14.446032454259695,16,86,86,74,75,85,73,70,2
6305,2017,Bryan Rust,RW,13.977933824528007,13,84,86,85,78,84,81,74,11
6306,2017,Byron Froese,C,5.2702697813510895,3,68,71,76,79,76,66,71,0
6307,2017,Cal Clutterbuck,RW,10.513923782855274,8,78,75,95,83,72,81,69,-7
6309,2017,Calle Jarnkrok,C,12.330258342437446,16,86,83,69,74,78,65,74,20
6310,2017,Calle Rosen,D,0.29427089542150503,0,62,55,54,53,56,55,71,-3
6311,2017,Calvin de Haan,D,1.884021715261042,1,62,75,74,85,71,77,70,11
6312,2017,Cam Atkinson,RW,28.822574770078067,24,89,85,67,73,84,73,69,19
6313,2017,Cam Fowler,D,7.491557408124208,8,78,85,61,89,81,86,67,3
6314,2017,Carl Dahlstrom,D,0.7056987527757883,0,62,63,56,61,55,64,71,-2
6315,2017,Carl Gunnarsson,D,2.5315024689771235,5,74,64,68,88,64,75,71,15
6316,2017,Carl Hagelin,LW,16.248687591403726,10,81,84,86,76,87,77,70,8
6317,2017,Carl Soderberg,C,14.450579428579656,16,86,84,79,85,86,68,66,0
6318,2017,Carson Soucy,D,0.07848204579204321,0,62,51,56,56,53,53,71,-2
6319,2017,Carter Rowney,C,1.970956252887845,2,66,63,82,70,63,62,71,-13
6320,2017,Casey Cizikas,C,8.3017716743052,7,77,75,87,83,85,76,70,-12
6321,2017,Casey Mittelstadt,C,0.7077991012483835,1,63,65,55,53,53,61,74,1
6322,2017,Casey Nelson,D,1.983498465269804,3,67,66,67,77,65,76,68,-14
6323,2017,Cedric Paquette,C,7.442945417948067,5,74,64,86,75,66,62,73,-5
6324,2017,Chad Ruhwedel,D,2.8721523210406303,2,62,62,79,80,68,65,69,-8
6325,2017,Chandler Stephenson,C,4.494124588556588,6,76,76,65,75,80,70,69,13
6326,2017,Charles Hudon,LW,15.686519327107813,10,81,84,87,77,86,77,74,-12
